speed,airbag,seatbelt,frontal,sex,age,vehYear,Deploy,injSeverity
25-39,none,belted,1,f,26,1990,0,3
40-54,airbag,belted,1,f,72,1995,1,1
40-54,none,none,1,f,69,1988,0,4
25-39,airbag,belted,1,f,53,1995,1,1
25-39,none,belted,1,f,32,1988,0,3
40-54,none,belted,1,f,22,1985,0,3
55+,none,belted,1,m,22,1984,0,3
55+,none,none,1,m,32,1987,0,4
40-54,none,belted,0,m,40,1984,0,1
40-54,none,belted,1,f,18,1987,0,0
40-54,none,belted,1,m,21,1987,0,0
40-54,none,belted,0,f,69,1982,0,1
40-54,airbag,belted,1,m,67,1991,1,1
25-39,airbag,belted,0,f,54,1994,0,4
25-39,none,belted,0,f,37,1991,0,1
25-39,none,belted,1,m,71,1990,0,1
25-39,none,belted,1,f,63,1990,0,3
40-54,none,none,0,f,23,1986,0,3
40-54,airbag,belted,0,m,33,1995,0,0
40-54,airbag,belted,0,m,17,1995,0,0
40-54,airbag,none,1,f,20,1995,1,1
40-54,none,belted,0,f,22,1987,0,0
40-54,none,none,0,m,45,1989,0,0
40-54,none,none,0,m,36,1989,0,1
40-54,airbag,belted,1,f,23,1995,1,1
40-54,none,none,1,f,19,1989,0,1
40-54,none,belted,0,m,26,1986,0,0
40-54,none,belted,1,f,41,1990,0,0
40-54,none,belted,1,f,18,1987,0,1
40-54,none,none,1,m,30,1987,0,3
40-54,airbag,belted,1,f,26,1992,1,1
55+,none,belted,1,m,16,1988,0,0
55+,none,belted,1,m,17,1988,0,0
40-54,airbag,belted,0,m,20,1990,0,0
40-54,airbag,belted,0,f,17,1990,0,0
25-39,none,none,1,m,32,1993,0,3
25-39,airbag,none,1,f,19,1993,1,2
25-39,airbag,belted,0,f,52,1995,0,1
40-54,none,belted,1,f,64,1992,0,2
40-54,none,belted,1,f,19,1984,0,2
40-54,none,belted,1,m,36,1988,0,2
40-54,airbag,belted,0,m,23,1993,0,1
55+,none,none,1,m,76,1984,0,3
40-54,airbag,belted,1,m,32,1995,1,0
40-54,none,belted,0,m,21,1987,0,1
40-54,none,belted,0,m,25,1987,0,0
40-54,airbag,belted,0,f,37,1992,0,1
40-54,airbag,none,0,f,16,1992,0,0
40-54,none,belted,0,f,24,1977,0,1
40-54,none,belted,1,m,39,1987,0,0
40-54,none,belted,1,m,18,1985,0,0
40-54,none,belted,1,f,64,1991,0,3
40-54,none,belted,1,m,22,1984,0,1
40-54,none,belted,1,m,27,1968,0,0
25-39,none,belted,1,m,18,1977,0,0
55+,none,belted,0,f,20,1986,0,3
25-39,airbag,none,1,m,74,1993,1,3
55+,airbag,none,0,f,17,1996,0,0
55+,airbag,none,0,f,16,1996,0,0
25-39,airbag,none,0,f,20,1996,0,3
25-39,airbag,none,0,m,19,1996,0,2
25-39,none,none,1,m,26,1983,0,3
40-54,airbag,belted,1,m,32,1995,0,0
25-39,none,none,0,f,78,1986,0,3
25-39,none,belted,1,m,40,1985,0,0
25-39,none,belted,1,f,36,1985,0,0
